open,close,side,entry,exit,sl,tp,r,pnl,tags
2025-04-13 14:00:00+00:00,2025-04-13 17:00:00+00:00,SHORT,1585.0,1615.093097282101,1615.093097282101,1524.8138054357978,-1.0,-30.0930972821011,"{'regime': 'bear', 'tf_ok': True, 'rsi_bucket': '35-50', 'poc_dir': 'below'}"
2025-04-13 19:00:00+00:00,2025-04-14 00:00:00+00:00,SHORT,1589.4,1627.709541205233,1627.709541205233,1512.780917589534,-1.0,-38.30954120523302,"{'regime': 'bear', 'tf_ok': True, 'rsi_bucket': '35-50', 'poc_dir': 'below'}"
2025-04-16 06:00:00+00:00,2025-04-16 15:00:00+00:00,SHORT,1576.05,1606.505619478955,1606.505619478955,1515.13876104209,-1.0,-30.455619478954986,"{'regime': 'bear', 'tf_ok': True, 'rsi_bucket': '35-50', 'poc_dir': 'below'}"
2025-04-16 20:00:00+00:00,2025-04-21 16:00:00+00:00,SHORT,1572.5,1613.2844582380185,1613.2844582380185,1490.931083523963,-1.0,-40.78445823801849,"{'regime': 'bear', 'tf_ok': True, 'rsi_bucket': '35-50', 'poc_dir': 'below'}"
2025-04-21 17:00:00+00:00,2025-04-22 07:00:00+00:00,SHORT,1578.25,1604.587364559769,1604.587364559769,1525.575270880462,-1.0,-26.337364559768957,"{'regime': 'bear', 'tf_ok': True, 'rsi_bucket': '35-50', 'poc_dir': 'below'}"
2025-04-24 14:00:00+00:00,2025-04-25 15:00:00+00:00,LONG,1765.45,1827.4370568439851,1734.4564715780075,1827.4370568439851,2.0,61.9870568439851,"{'regime': 'bull', 'tf_ok': True, 'rsi_bucket': '50-65', 'poc_dir': 'above'}"
2025-04-25 16:00:00+00:00,2025-04-28 15:00:00+00:00,LONG,1802.55,1768.55110126604,1768.55110126604,1870.54779746792,-1.0,-33.998898733960004,"{'regime': 'bull', 'tf_ok': True, 'rsi_bucket': '50-65', 'poc_dir': 'above'}"
2025-04-28 19:00:00+00:00,2025-04-30 13:00:00+00:00,LONG,1797.9,1767.9937054880875,1767.9937054880875,1857.7125890238253,-1.0,-29.90629451191262,"{'regime': 'bull', 'tf_ok': True, 'rsi_bucket': '50-65', 'poc_dir': 'above'}"
2025-04-30 20:00:00+00:00,2025-05-01 15:00:00+00:00,LONG,1794.5,1855.5457133397717,1763.9771433301141,1855.5457133397717,2.0,61.04571333977174,"{'regime': 'bull', 'tf_ok': True, 'rsi_bucket': '50-65', 'poc_dir': 'above'}"
2025-05-01 19:00:00+00:00,2025-05-06 13:00:00+00:00,LONG,1844.55,1817.5128636950394,1817.5128636950394,1898.624272609921,-1.0,-27.03713630496054,"{'regime': 'bull', 'tf_ok': True, 'rsi_bucket': '50-65', 'poc_dir': 'above'}"
2025-05-06 22:00:00+00:00,2025-05-08 03:00:00+00:00,LONG,1811.3,1866.8739347021167,1783.5130326489416,1866.8739347021167,2.0,55.57393470211673,"{'regime': 'bull', 'tf_ok': True, 'rsi_bucket': '50-65', 'poc_dir': 'above'}"
2025-05-09 19:00:00+00:00,2025-05-10 17:00:00+00:00,LONG,2332.25,2495.304991203593,2250.7225043982035,2495.304991203593,2.0,163.0549912035931,"{'regime': 'bull', 'tf_ok': True, 'rsi_bucket': '50-65', 'poc_dir': 'above'}"
2025-05-11 11:00:00+00:00,2025-05-11 15:00:00+00:00,LONG,2531.0,2464.8715130352316,2464.8715130352316,2663.256973929537,-1.0,-66.1284869647684,"{'regime': 'bull', 'tf_ok': True, 'rsi_bucket': '50-65', 'poc_dir': 'above'}"
2025-05-11 20:00:00+00:00,2025-05-12 18:00:00+00:00,LONG,2511.55,2449.671650441893,2449.671650441893,2635.306699116215,-1.0,-61.8783495581074,"{'regime': 'bull', 'tf_ok': True, 'rsi_bucket': '50-65', 'poc_dir': 'above'}"
2025-05-13 09:00:00+00:00,2025-05-13 16:00:00+00:00,LONG,2484.45,2592.2232441281194,2430.56337793594,2592.2232441281194,2.0,107.77324412811959,"{'regime': 'bull', 'tf_ok': True, 'rsi_bucket': '50-65', 'poc_dir': 'above'}"
2025-05-16 01:00:00+00:00,2025-05-17 00:00:00+00:00,LONG,2566.9,2505.9765954407158,2505.9765954407158,2688.7468091185688,-1.0,-60.923404559284336,"{'regime': 'bull', 'tf_ok': True, 'rsi_bucket': '50-65', 'poc_dir': 'above'}"
2025-05-19 15:00:00+00:00,2025-05-21 05:00:00+00:00,LONG,2467.6,2593.390681728763,2404.7046591356184,2593.390681728763,2.0,125.79068172876305,"{'regime': 'bull', 'tf_ok': True, 'rsi_bucket': '50-65', 'poc_dir': 'above'}"
2025-05-21 14:00:00+00:00,2025-05-21 17:00:00+00:00,LONG,2582.8,2529.887260700428,2529.887260700428,2688.625478599144,-1.0,-52.91273929957197,"{'regime': 'bull', 'tf_ok': True, 'rsi_bucket': '50-65', 'poc_dir': 'above'}"
2025-05-21 22:00:00+00:00,2025-05-22 08:00:00+00:00,LONG,2537.2,2669.3715634901755,2471.114218254912,2669.3715634901755,2.0,132.17156349017569,"{'regime': 'bull', 'tf_ok': True, 'rsi_bucket': '50-65', 'poc_dir': 'above'}"
2025-05-22 11:00:00+00:00,2025-05-23 11:00:00+00:00,LONG,2652.3,2589.921114308404,2589.921114308404,2777.0577713831926,-1.0,-62.378885691596224,"{'regime': 'bull', 'tf_ok': True, 'rsi_bucket': '50-65', 'poc_dir': 'above'}"
2025-05-24 10:00:00+00:00,2025-05-24 21:00:00+00:00,LONG,2570.25,2529.820888645932,2529.820888645932,2651.108222708136,-1.0,-40.42911135406803,"{'regime': 'bull', 'tf_ok': True, 'rsi_bucket': '50-65', 'poc_dir': 'above'}"
2025-05-26 05:00:00+00:00,2025-05-26 16:00:00+00:00,LONG,2569.05,2536.661331395801,2536.661331395801,2633.8273372083986,-1.0,-32.38866860419921,"{'regime': 'bull', 'tf_ok': True, 'rsi_bucket': '50-65', 'poc_dir': 'above'}"
2025-05-26 20:00:00+00:00,2025-05-27 01:00:00+00:00,LONG,2567.3,2533.2618714669343,2533.2618714669343,2635.376257066132,-1.0,-34.0381285330659,"{'regime': 'bull', 'tf_ok': True, 'rsi_bucket': '50-65', 'poc_dir': 'above'}"
2025-05-27 05:00:00+00:00,2025-05-27 08:00:00+00:00,LONG,2570.2,2641.0227724589804,2534.7886137705095,2641.0227724589804,2.0,70.82277245898058,"{'regime': 'bull', 'tf_ok': True, 'rsi_bucket': '50-65', 'poc_dir': 'above'}"
2025-05-27 21:00:00+00:00,2025-05-28 02:00:00+00:00,LONG,2663.6,2620.9432254434996,2620.9432254434996,2748.9135491130005,-1.0,-42.656774556500295,"{'regime': 'bull', 'tf_ok': True, 'rsi_bucket': '50-65', 'poc_dir': 'above'}"
2025-05-28 03:00:00+00:00,2025-05-29 02:00:00+00:00,LONG,2645.8,2723.5070656731796,2606.9464671634105,2723.5070656731796,2.0,77.70706567317939,"{'regime': 'bull', 'tf_ok': True, 'rsi_bucket': '50-65', 'poc_dir': 'above'}"
2025-06-02 17:00:00+00:00,2025-06-03 00:00:00+00:00,LONG,2550.7,2619.334842753785,2516.3825786231073,2619.334842753785,2.0,68.63484275378505,"{'regime': 'bull', 'tf_ok': True, 'rsi_bucket': '50-65', 'poc_dir': 'above'}"
2025-06-03 13:00:00+00:00,2025-06-03 21:00:00+00:00,LONG,2629.05,2595.593102792828,2595.593102792828,2695.963794414344,-1.0,-33.456897207172005,"{'regime': 'bull', 'tf_ok': True, 'rsi_bucket': '50-65', 'poc_dir': 'above'}"
2025-06-04 03:00:00+00:00,2025-06-05 10:00:00+00:00,LONG,2629.8,2592.330870670602,2592.330870670602,2704.7382586587964,-1.0,-37.46912932939813,"{'regime': 'bull', 'tf_ok': True, 'rsi_bucket': '50-65', 'poc_dir': 'above'}"
