open,close,side,entry,exit,sl,tp,r,pnl,tags
2025-04-14 08:00:00+00:00,2025-04-16 17:00:00+00:00,LONG,84755.0,83616.91772238222,83616.91772238222,87031.16455523556,-1.0,-1138.082277617781,"{'regime': 'bull', 'tf_ok': True, 'rsi_bucket': '50-65', 'poc_dir': 'above'}"
2025-04-16 19:00:00+00:00,2025-04-21 13:00:00+00:00,LONG,84333.5,86607.93199417202,83196.28400291399,86607.93199417202,2.0,2274.431994172017,"{'regime': 'bull', 'tf_ok': True, 'rsi_bucket': '50-65', 'poc_dir': 'above'}"
2025-04-21 19:00:00+00:00,2025-04-22 13:00:00+00:00,LONG,87452.5,89377.72393185744,86489.88803407128,89377.72393185744,2.0,1925.223931857443,"{'regime': 'bull', 'tf_ok': True, 'rsi_bucket': '50-65', 'poc_dir': 'above'}"
2025-04-23 20:00:00+00:00,2025-04-24 04:00:00+00:00,LONG,93657.5,92470.7905622727,92470.7905622727,96030.9188754546,-1.0,-1186.7094377273024,"{'regime': 'bull', 'tf_ok': True, 'rsi_bucket': '50-65', 'poc_dir': 'above'}"
2025-04-24 12:00:00+00:00,2025-04-25 11:00:00+00:00,LONG,92781.5,94547.23088364862,91898.63455817569,94547.23088364862,2.0,1765.730883648619,"{'regime': 'bull', 'tf_ok': True, 'rsi_bucket': '50-65', 'poc_dir': 'above'}"
2025-04-25 12:00:00+00:00,2025-04-28 16:00:00+00:00,LONG,94450.0,93597.63736533231,93597.63736533231,96154.72526933538,-1.0,-852.3626346676901,"{'regime': 'bull', 'tf_ok': True, 'rsi_bucket': '50-65', 'poc_dir': 'above'}"
2025-04-28 19:00:00+00:00,2025-04-29 23:00:00+00:00,LONG,94828.0,93898.61951149107,93898.61951149107,96686.76097701787,-1.0,-929.3804885089339,"{'regime': 'bull', 'tf_ok': True, 'rsi_bucket': '50-65', 'poc_dir': 'above'}"
2025-04-30 03:00:00+00:00,2025-04-30 13:00:00+00:00,LONG,95047.5,94275.72381905097,94275.72381905097,96591.05236189807,-1.0,-771.776180949033,"{'regime': 'bull', 'tf_ok': True, 'rsi_bucket': '50-65', 'poc_dir': 'above'}"
2025-05-01 01:00:00+00:00,2025-05-01 10:00:00+00:00,LONG,94642.0,96286.94357143756,93819.52821428122,96286.94357143756,2.0,1644.9435714375577,"{'regime': 'bull', 'tf_ok': True, 'rsi_bucket': '50-65', 'poc_dir': 'above'}"
2025-05-01 13:00:00+00:00,2025-05-01 15:00:00+00:00,LONG,95852.5,97435.30642308234,95061.09678845883,97435.30642308234,2.0,1582.8064230823366,"{'regime': 'bull', 'tf_ok': True, 'rsi_bucket': '50-65', 'poc_dir': 'above'}"
